user_id,parent_asin,timestamp,rating,helpful_vote,ms
AGTQVJKZR5MFMT75CBTM6BKUBGJQ,B006455HKI,1371652824000,5.0,0,1371652824000
AFF5RQJVDUQENXFOFMPN3MCXARFA,B005GCCJJW,1370037365000,4.0,0,1370037365000
AFMPVZ7WMJVPGSICTHHYIODNNABQ,B008R6PKBS,1394200994000,5.0,0,1394200994000
AF2YT7L5ZDIT4V57RZ2XTY7SAPNQ,B0C15H1PGM,1267282906000,2.0,25,1267282906000
AF6CO6WVKTOV7LG5ODL4CMJGSY4Q,B005033D0Q,1358961485000,4.0,3,1358961485000
AGUSN3VK5JMKZGKGZWZGK6QKSTXA,B001AEILEM,1267325688000,5.0,6,1267325688000
AHOQEJENYV2JX4KHFI4B3FQMG6YQ,B07C342D73,1388006453000,5.0,0,1388006453000
AFPMLYTS6SCDFCRLVEB6EDNMOMMA,B007MY9NOG,1380712942000,4.0,0,1380712942000
AF4FAUBMT3LUIO6YL33RAHSTQB7Q,B008JBNG7G,1388546422000,5.0,1,1388546422000
AE7LAJUXCN53I7GTXZIKO3VFL6OA,B0C2Q3NFQ1,1358450247000,5.0,0,1358450247000
AESK42DI7U2F6B5CNBC2HSUPLAAA,B008H47SFQ,1400603462000,4.0,3,1400603462000
AH3QO45M2EKDFILRDATR3LFVJBVA,B001TBBPDU,1338466561000,5.0,4,1338466561000
AFTTBAFKYUQYLMGVAJPMYZ5GAGFA,B0BVGNVSNH,1371230364000,5.0,0,1371230364000
AEME5JA267QAFRMGJ74WYAI2FGBA,B00IYNFVCM,1400198201000,4.0,18,1400198201000
AETFUWOUBAR5PACWCN52ATSARZTQ,B003B3OAH2,1372196432000,5.0,0,1372196432000
AEZG3GU5RVSLRUNJ6LJOYGPZ6ZAA,B004J2NMMI,1387313683000,5.0,0,1387313683000
AHDGLEKZ2OUWNUDX5DDRQDP5UQTA,B000GW7JKQ,1273167073000,5.0,2,1273167073000
AFE4V6UC4MMDO3SCEYWPZTO4NLDQ,B00104SIUO,1345744063000,5.0,2,1345744063000
AETJW57GNH6XIZXC3KJ6X4Q35MMA,B002VQYNEA,1371428807000,5.0,0,1371428807000
AEOD7DHXVUIVIX5NK2GAIE5PHJDA,B00C4RXLSK,1394021782000,3.0,2,1394021782000
AEGXZ4OR2E4ALHWZEF7J2POKYROQ,B07JP5Z9N9,1613410989152,5.0,0,1613410989152
AFYV3AKEWWGXXUWH6PFPYZB3NC4A,B07T3J1XQT,1360419722000,2.0,1,1360419722000
AF36DTZIEAAPYHYPMNOOVAINNZ2Q,B010OO0C7C,1360492303000,5.0,0,1360492303000
AHV4OWNEHJ7VAWL4UNYSGVSBWSTQ,B07G4ZBXVR,1588350823259,5.0,0,1588350823259
AE7LRXUXY3QNSKYQ57CXTFPPTTIQ,B000SP99TK,1388253139000,2.0,0,1388253139000
AEIXKRI7G5W3HKQV45BOSJSKJNBA,B079R4ZYQF,1525292343371,5.0,0,1525292343371
AFP5TDIYFMDBQU42ZBTKF2Y2BD4A,B008OE6R8S,1400273983000,5.0,0,1400273983000
AF66GAETMKN5O7UNTYCJ4DOOGD5A,B005UJVJMO,1369346799000,4.0,0,1369346799000
AEEZK52C6XHQFGJOQAVNQTLMENVA,B017HNISVU,1576246273915,5.0,0,1576246273915
AELQV3YRFLHI6SBTPWY76EXCWZOA,B09DTQXJDP,1578339000657,5.0,0,1578339000657
AFL7ZDQ2QXOORFHSJENVFCIP7MWQ,B086DLVTDJ,1470708612000,4.0,0,1470708612000
AEMYSMIKUU6TBVP4UE3PVPQE3HFQ,B00BLQ9F0S,1394293037000,4.0,0,1394293037000
AFNOH65CWNMYHGF5GRYG5IW7L2WQ,B00IR4Y5H0,1344123679000,5.0,1,1344123679000
AFN74P3OAM23U5QZWNZGHVIXN5VQ,B001CWXXBI,1249529383000,5.0,1,1249529383000
AGIHDAKWOIZG6HQZBEWA2JWN3EEA,B005I5E3VE,1394448521000,5.0,0,1394448521000
AHQ5G32BCA2YSB25VXVE4QWJNXRQ,B007L84WFS,1369657855000,5.0,0,1369657855000
AFM3LUB7VXTIZB3QLEHCUEL4RLZA,B078PHBS11,1561138841987,5.0,0,1561138841987
AGE5JKQCWD634OFQ75IEDM3THUXA,B01M6E39DY,1379860646000,5.0,0,1379860646000
AHL66F2U3JEFNAMWFDJBHYQM76NA,B004S7HDXI,1394149748000,4.0,0,1394149748000
AGF6GKQXD2DG5PB72TBIXZ47XZKA,B00AWL422Y,1360028958000,3.0,0,1360028958000
AFQKUDCPZ5GWCFV57FRYR5B37DBQ,B000DZZFUW,1343929313000,3.0,1,1343929313000
AHM6XAVLDMIEWLJ4RT26GATHHL5Q,B08FXW2MWV,1618538020189,2.0,2,1618538020189
AHHIG5R2KJTUUBMF6KWRQCINUF5Q,B01D3MS79W,1517109565808,5.0,0,1517109565808
AHJLYPVMSXGK7BLHQTTJQHFGPBFQ,B009WD1RZ8,1387541125000,5.0,0,1387541125000
AEYEAPASA7LDLTUBYNHRRCQUCJYQ,B00IXCG5PQ,1399996060000,5.0,5,1399996060000
AFNYZAUGOHFSI2VCN3UUX4PL3I5Q,B093XKL7WZ,1617809002919,5.0,0,1617809002919
